Tester111|ท่อน้ำรั่ว|2022-10-17/17:19:25|Safety|ท่อน้ำรั่วที่ตึกSC45ชั้น8|ท่อน้ำรั่ว.png|เจ้าหน้าที่ได้ตรวจสอบและแก้ไขแล้ว|OfficerKevin|0|true|
Tester333|ขยะใต้ต้นไม้|2022-10-17/17:21:41|Environment|มีถุงขยะทิ้งอยู่ใต้ต้นไม้แถวบาร์ใหม่ส่งกลิ่นเหม็นไปทั่ว|ขยะใต้ต้นไม้.png|||0|false|
Tester101|ขยะข้างตึก|2022-10-17/17:25:01|Environment|มีเศษขยะอยู่ข้างตึกSC45|ขยะข้างตึก.png|||1|false|Tester101,
Tester101|รถติด|2022-10-17/17:27:56|Traffic|รถติดหน้าประตูวิภาวดี ไม่มียามมาช่วยโบกรถ|null|เจ้าหน้าที่ได้ส่งเจ้าหน้าที่ไปอำนวยความสะดวกแล้ว|putzamonkey|0|true|
nisit168|บ้านออมเงิน|2022-10-17/17:44:21|Financial|มาออมเงินกับเราสิ ได้ดอกเบี้ยเดือนละ30% ชวนคนต่อได้ค่าคอมเพิ่มด้วยนะ|บ้านออมเงิน.png|||0|false|
nisit888|พนันออนไลน์เจ้าใหม่|2022-10-17/17:45:30|Financial|สุดยอดเว็บพนันออนไลน์NISIT888 ไม่มีขั้นต่ำ โอนไว สนใจแอดไลน์@NISIT888|null|||0|false|
nisitZing|หาคนไปป่วนงานมีตติ้ง|2022-10-17/17:47:55|Traffic|หาพวกวัยรุ่นกระบะซิ่งไปป่วนงานมีตติ้งรถซิ่งที่rest areaประชาชื่นคืนนี้|หาคนไปป่วนงานมีตติ้ง.png|เจ้าหน้าที่ได้ส่งข้อมูลผู้โพสต์ให้เจ้าหน้าที่ตำรวจแล้ว|OfficerKevin|0|true|
Tester222|หาเพื่อนติว|2022-10-17/19:36:22|Education|หาเพื่อนติวสอบวิชาdata structureเสาร์นี้ครับ|null|||0|false|
tutorWannabe|เปิดสอนคอร์สjava|2022-10-17/19:37:30|Education|สอนjavaแบบspeedrun any% ใครตอนเรียนชอบโดด ต้องโดนคอร์สนี้ สอบผ่านแน่นอน!!!!|null|f;kl;kf;sld/jg|Tester202|1|true|Tester101,
auratic|เก้าอี้ชำรุด|2022-10-17/19:39:22|Safety|เก้าอี้ที่ห้อง709ขาหัก|เก้าอี้ชำรุด.png|เจ้าหน้าที่ได้ทำการเปลี่ยนเก้าอี้ที่ชำรุดในห้อง709แล้ว|OfficerKevin|0|true|
auratic_uel|น้ำท่วม|2022-10-17/19:42:10|Traffic|น้ำท่วมหน้าตึกจอดรถงามวงศ์วาน1 มีรถจอดเสีย|น้ำท่วม.png||putzamonkey|0|false|
auratic_uel|ฟุตบาทอันตราย|2022-10-17/19:49:26|Safety|ฟุตบาทแถวตึกSC45ชำรุด|ฟุตบาทอันตราย.png||OfficerKevin|0|false|
auratic_uel|ลิ้งก์เสีย|2022-10-17/19:49:58|Scholarship|สิ้งก์เอกสารสำหรับขอทุนในเว็บเสีย ไม่สามารถโหลดไฟล์ได้|null|||0|false|
auratic_uel|ท่อแอร์รั่ว|2022-10-17/19:52:25|Environment|ท่อแอร์ข้างตึกSC45รั่ว ส่งกลิ่นสารเคมีเหม็นไปทั่ว|ท่อแอร์รั่ว.png|||0|false|
auratic_uel|หากู้เงินเติมกาชา|2022-10-17/19:54:22|Financial|ต้องการเงินกู้ด่วนเปิดกาชาเก็นชินครับ จะเปิดน้องnilou c6 ตอนนี้หมุนเงินไม่ทัน ถ้าเงินออกวันที่2เดือนหน้าแล้วเดี๋ยวคืนให้|หากู้เงินเติมกาชา.png||akali|0|false|
nisitZing|ขายเทอร์โบเดิมd-max 1.9|2022-10-17/19:57:25|Financial|เทอร์โบเดิม1.9ใช้งานมาแค่5000โลขายถูกๆ ขายเพราะเปลี่ยนเป็นเทอร์โบF55ปาก44 สนในแอดไลน์nisitZing|ขายเทอร์โบเดิมd-max 1.9.png|||0|false|
nisitZing|ขายหัวเชื้อน้ำหวาน|2022-10-17/20:02:35|Financial|ขายหัวเชื้อน้ำหวาน สำหรับผสมกับน้ำท่อม หวานกำลังดี ไม่เลี่ยน ขวดนึงผสมกับน้ำท่อมได้1หม้อ สนใจแอดไลน์nisitZing|ขายหัวเชื้อน้ำหวาน.png|||0|false|
nisitZing|ขายบุหรี่ไฟฟ้า|2022-10-17/20:04:38|Environment|ขายบุหรี่ไฟฟ้าราคาถูก แถมน้ำยารสมะม่วงฟรี สนใจแอดไลน์nisitZing|ขายบุหรี่ไฟฟ้า.png|||0|false|
nisitZing|ขายยางซิ่ง|2022-10-17/20:06:12|Safety|ขายยางจีนซิ่งในตำนานตัวเดียวกับที่มะลิฟ้าใส่ดวลกับcivicแคมกระดิก ขายถูกๆ สนใจแอดไลน์nisitZing|ขายยางซิ่ง.png|||0|false|
nisitZing|ขายท่อบายพาส|2022-10-17/20:08:26|Environment|ขายท่อบายพาสซิ่ง แบบมีรีโมทสั่งได้ ไว้ปิดควันดำหลบเมียหลบตำรวจ ตอนจะซิ่งก็เปิดควันดำได้เหมือนเดิม สนใจแอดไลน์nisitZing|ขายท่อบายพาส.png|||0|false|
khonDee|มีเศษลูกอมตกหน้าห้อง709|2022-10-17/20:13:06|Environment|มีเศษซองลูกอมตกอยู่หน้าห้อง709 ดูไม่สะอาดรกหูรกตา ผมหยิบขึ้นมาถ่ายรูปแล้วโยนไว้ที่เดิม รบกวนแม่บ้านมาทำความสะอาดด้วยครับ|มีเศษลูกอมตกหน้าห้อง709.png|||1|false|khonDee,
khonDee|เศษกระป๋องหน้าตึกSC45|2022-10-17/20:15:45|Environment|มีเศษกระป๋องเบียร์ตกหน้าตึกSC45 ผมหยิบขึ้นมาถ่ายรูปแล้วโยนไว้ที่เดิมเหมือนโพสก่อน รบกวนแม่บ้านมาทำความสะอาดด้วยครับ|เศษกระป๋องหน้าตึกSC45.png|||1|false|khonDee,
khonDee|ซากตัวเงินตัวทองกลางถนน|2022-10-17/20:19:30|Traffic|มีซากตัวเงินตัวทองอยู่กลางถนน โดนรถผมชนตะกี้ครับ แน่นอนว่าผมไม่เขี่ยซากลงข้างถนนหลบ การจราจรให้ รบกวนเจ้าหน้าที่มาจัดการด้วยครับ|ซากตัวเงินตัวทองกลางถนน.png||OfficerKevin|1|false|khonDee,
khonDee|ชนแล้วหนี|2022-10-17/20:21:11|Traffic|รถโดนชนแล้วหนีครับ แน่นอนว่าผมเป็นคนชนคันในภาพ แค่ลงมาถ่ายรูปเฉยๆ ตอนนี้ขับกลับบ้านละ|ชนแล้วหนี.png|เจ้าหน้าที่ได้ส่งข้อมูลของผู้โพสต์ให้เจ้าหน้าที่ตำรวจแล้ว|putzamonkey|1|true|khonDee,
khonDee|ลักไก่กลับรถ|2022-10-17/20:23:54|Traffic|ผมลักไก่ปีนฟุตบาทกลับรถ แล้วมีรถพุ่งมาชน ทำไม่มียามมาหยุดรถให้ครับ คนกำลังรีบๆ|ลักไก่กลับรถ.png|||1|false|khonDee,
khonDee|รถปาดหน้า|2022-10-17/20:26:24|Traffic|รถปาดหน้าตรงทางเข้าม.ครับ ทำไมไม่มีน้ำใจเลย คนกำลังรีบๆ|รถปาดหน้า.png|||1|false|khonDee,
khonDee|รถติดหล่ม|2022-10-17/20:33:38|Traffic|รถติดหล่มครับ แน่นอนว่าไม่ใช่แถวม. ผมแค่อยากโพสเฉยๆ|รถติด.png|||1|false|khonDee,
khonDee|รถกระบะซิ่งควันดำ|2022-10-17/20:38:41|Environment|มีรถซิ่งควันดำวิ่งป่วนแถวม.ครับ รอบนี้ไม่ใช่รถผมนะ ผมเพิ่งโดนตำรวจยึดรถไปเมื่ออาทิตย์ก่อน|รถกระบะซิ่งควันดำ.png|||0|false|
khonDee|มีนิสิตแอบสูบบุหรี่ไฟฟ้าข้างตึก|2022-10-17/20:40:14|Environment|มีกลุ่มนิสิตแอบสูบบุหรี่ไฟฟ้าข้างตึกส่งกลิ่นรบกวนไปทั่ว แน่นอนว่ารอบนี้ไม่ใช่กลุ่มผมนะครับ|มีนิสิตแอบสูบบุหรี่ไฟฟ้าข้างตึก.png|||0|false|
khonDee|เผาขยะ|2022-10-17/20:44:09|Environment|ผมแอบเผาขยะในม.ครับ อันนี้เป็นรูปที่เพื่อนถ่ายไว้|เผาขยะ.png|||0|false|
khonDee|หลอดไฟเสีย|2022-10-17/20:48:49|Safety|หลอดไฟเสีย ตรงชั้น8ตึกSC45ครับ|หลอดไฟเสีย.png|||0|false|
khonDee|ส้วมระเบิด|2022-10-17/20:49:42|Safety|ส้วมในห้องน้ำชายระเบิดครับ|ส้วมระเบิด.png||OfficerKevin|0|false|
khonDee|ท่อแก๊สรั่ว|2022-10-17/20:51:02|Safety|ท่อแก๊สข้างตึกSC45รั่วครับ|ท่อแก๊สรั่ว.png|เจ้าหน้าที่ได้ทำการตรวจสอบและแก้ไขจุดที่แก๊สรั่วแล้ว|OfficerKevin|0|true|
khonDee|ท่อประปาใต้ดินระเบิด|2022-10-17/20:52:11|Safety|ท่อประปาใต้ดินระเบิดครับ|ท่อประปาใต้ดินระเบิด.png||OfficerKevin|0|false|
khonDee|ฝาท่อหาย|2022-10-17/20:53:11|Safety|ฝาท่อระบายน้ำหายครับ ผมเป็นคนขโมยไปขายเอง|ฝาท่อหาย.png||OfficerKevin|0|false|
Tester101|คราบน้ำมัน|2022-10-20/16:54:20|Safety|มีคราบน้ำมันบนพื้นถนน หน้าตึกSC45 รถมอเตอร์ไซค์ลื่นล้มเป็นจำนวนมาก|คราบน้ำมัน.png||OfficerKevin|0|false|
